id	bedgraph/WB_pCRO_HK1_1910	bedgraph/WB_pCRO_HK2_1910	bedgraph/WB_pCRO_HK3_1910	bedgraph/WB_pCRO_HK4_1910	bedgraph/WB_pCRO_SL1_1910	bedgraph/WB_pChRO_EK6_2003	bedgraph/WB_pChRO_EK33_2003	bedgraph/WB_pChRO_EK45_2003	bedgraph/WB_pChRO_EK52_2003	bedgraph/WB_pChRO_EK53_2003
chr1:1158100-1158500;enhG:LINC01342:1137016:+;-	12	18	19	24	13	1	2	0	0	0
chr1:1200950-1201100;enhG:SDF4:1232067:-;+	0	0	0	0	0	0	0	0	0	0
chr1:1201200-1201650;enhG:SDF4:1232067:-;+	13	18	20	36	1	1	0	0	3	1
chr1:1231100-1231300;enhP:B3GALT6:1232248:-;+	2	1	1	2	0	0	0	0	0	0
chr1:1231950-1232250;prm:SDF4:1232067:-;-	3	3	1	10	1	0	0	0	0	0
chr1:1231950-1232250;prm:B3GALT6:1232248:+;+	0	0	1	0	0	0	3	0	0	0
chr1:1272800-1272900;enhP:UBE2J2:1273854:-;+	0	0	0	0	0	0	0	0	0	0
chr1:1272950-1273200;enhP:UBE2J2:1273854:-;+	0	0	0	0	0	0	2	0	1	1
chr1:1273750-1274000;prm:UBE2J2:1273854:-;-	37	49	54	65	9	0	0	0	0	0
chr1:1273750-1274000;prm:UBE2J2:1273854:-;+	1	0	0	1	1	0	0	0	0	0
chr1:1307950-1308200;prm:ACAP3:1307889:-;-	4	14	9	15	1	3	5	0	9	6
chr1:1307950-1308200;prm:ACAP3:1307889:-;+	5	7	7	13	1	0	0	0	0	0
chr1:1308450-1308600;prm:PUSL1:1308613:+;-	3	4	0	4	0	2	7	0	0	0
chr1:1308450-1308600;prm:PUSL1:1308613:+;+	0	2	0	1	0	0	0	0	0	0
chr1:1324550-1324850;prm:CPSF3L:1324687:-;-	32	50	49	93	8	1	3	2	0	1
chr1:1324550-1324850;prm:CPTP:1324762:+;+	1	4	1	3	1	0	0	0	0	0
chr1:1349350-1349600;enhD:CPTP:1324762:+;-	3	0	4	8	0	0	0	0	0	0
chr1:1349350-1349600;enhD:CPTP:1324762:+;+	4	15	9	11	2	0	1	1	0	0
chr1:1373950-1374050;enhP:AURKAIP1:1375200:-;+	0	0	0	0	0	0	0	0	0	0
chr1:1375150-1375650;prm:AURKAIP1:1375182:-;-	66	115	107	155	44	2	7	5	2	7
chr1:1375150-1375650;prm:AURKAIP1:1375182:-;+	19	25	18	62	8	4	5	0	0	1
chr1:1375900-1376000;enhG:CCNL2:1399338:-;+	4	6	6	13	1	0	0	0	0	0
chr1:1376400-1376500;enhG:CCNL2:1399338:-;+	1	4	3	3	5	2	0	0	0	0
chr1:1399450-1399600;prm:CCNL2:1399338:-;-	2	4	2	4	0	14	10	0	1	0
chr1:1399450-1399600;prm:LOC148413:1399529:+;+	6	19	19	16	7	0	0	0	0	0
chr1:1400850-1401800;enhP:CCNL2:1399338:+;-	20	53	28	45	8	12	6	0	0	0
chr1:1402200-1402500;enhG:MRPL20:1407313:-;+	1	1	0	7	1	0	0	0	0	0
chr1:1407250-1407350;prm:MRPL20:1407313:-;-	5	14	12	16	1	0	0	0	0	0
chr1:1407250-1407350;prm:MRPL20:1407313:-;+	1	0	2	2	1	0	0	0	0	0
chr1:1435550-1435700;prm:VWA1:1435522:+;-	0	0	0	2	0	0	0	0	1	1
chr1:1435550-1435700;prm:VWA1:1435522:+;+	0	0	0	0	0	0	0	0	0	0
chr1:1462350-1462500;enhG:VWA1:1435522:+;-	2	4	2	3	0	0	0	0	2	1
chr1:1471550-1471800;prm:ATAD3B:1471754:+;-	4	8	10	22	0	0	1	2	0	0
chr1:1471550-1471800;prm:ATAD3B:1471754:+;+	9	2	8	9	0	1	2	2	0	0
chr1:1511250-1512000;prm:ATAD3A:1512142:+;-	51	72	80	180	27	9	28	7	7	1
chr1:1511250-1512000;prm:ATAD3A:1512142:+;+	0	3	4	12	1	4	8	12	0	0
chr1:1573950-1575000;prm:SSU72:1574882:-;-	123	243	184	359	46	108	161	113	56	42
chr1:1573950-1575000;prm:SSU72:1574882:-;+	20	28	25	46	9	27	62	42	12	5
chr1:1614200-1614650;enhP:MIB2:1615414:-;+	1	4	0	1	0	2	6	6	3	0
chr1:1614750-1614900;enhP:MIB2:1615414:-;+	1	1	1	3	0	0	7	2	0	0
chr1:1615100-1616500;prm:MIB2:1615414:+;-	67	93	81	177	22	16	20	14	3	5
chr1:1615100-1616500;prm:MIB2:1615414:+;+	82	175	154	209	38	51	94	25	27	9
chr1:1628550-1629000;enhG:MIB2:1615414:+;-	3	10	2	3	1	1	10	0	0	0
chr1:1629450-1629550;enhG:MIB2:1615414:+;-	2	3	2	3	0	0	0	2	0	0
chr1:1629600-1629900;enhG:MIB2:1615414:+;-	18	22	14	38	10	0	2	0	0	0
chr1:1630200-1630650;enhG:MIB2:1615414:+;-	14	18	10	21	3	1	5	6	3	1
chr1:1630900-1631500;enhG:MIB2:1615414:+;-	1	4	0	5	0	1	10	1	0	0
chr1:1658950-1659150;prm:CDK11B:1659097:-;-	13	22	12	34	6	1	4	0	0	0
chr1:1658950-1659150;prm:CDK11B:1659097:-;+	6	12	16	9	1	0	2	0	0	0
chr1:1692150-1692750;prm:SLC35E2B:1692804:-;-	25	30	37	54	30	15	13	7	0	0
chr1:1692150-1692750;prm:SLC35E2B:1692804:-;+	3	1	10	9	6	2	2	0	1	0
chr1:1692850-1693450;prm:SLC35E2B:1692804:-;-	5	4	9	15	8	0	3	0	1	0
chr1:1692850-1693450;prm:SLC35E2B:1692804:-;+	2	3	0	2	1	3	11	1	3	2
chr1:1724300-1724500;prm:CDK11A:1724565:-;-	14	33	29	66	9	1	4	1	3	0
chr1:1724300-1724500;prm:CDK11A:1724565:-;+	17	4	14	23	1	0	0	2	0	0
chr1:1745850-1746100;prm:SLC35E2:1745999:-;-	3	7	11	14	0	0	0	0	0	0
chr1:1745850-1746100;prm:SLC35E2:1745999:-;+	5	4	5	10	0	0	0	0	0	0
chr1:1746150-1746400;prm:SLC35E2:1745999:-;-	11	22	9	40	1	0	0	0	1	0
chr1:1746150-1746400;prm:SLC35E2:1745999:-;+	3	3	3	4	0	0	0	0	0	0
chr1:1778450-1778600;prm:NADK:1778470:-;-	6	9	11	7	2	3	3	1	0	0
chr1:1778450-1778600;prm:NADK:1778470:-;+	1	7	5	7	0	0	0	0	0	0
chr1:1778650-1779150;prm:NADK:1778470:-;-	32	66	51	58	20	13	18	11	13	5
chr1:1778650-1779150;prm:NADK:1778470:-;+	100	162	148	285	70	9	19	7	18	6
chr1:1780050-1780500;prm:NADK:1780069:-;-	123	142	105	227	81	15	13	19	4	1
chr1:1780050-1780500;prm:NADK:1780069:-;+	16	27	17	58	10	3	1	0	3	1
chr1:1889700-1890600;enhP:GNB1:1891117:-;+	15	28	21	25	8	2	13	3	9	2
chr1:1890650-1890750;enhP:GNB1:1891117:-;+	0	1	0	0	0	4	4	0	5	1
chr1:1890800-1891850;prm:GNB1:1891117:-;-	61	111	90	159	36	36	88	28	15	8
chr1:1890800-1891850;prm:GNB1:1891117:-;+	114	134	151	276	12	29	81	15	15	11
chr1:1909000-1909450;enhD:GNB1:1891117:-;-	45	64	55	110	29	9	45	31	16	6
chr1:1909000-1909450;enhD:GNB1:1891117:-;+	14	29	25	47	9	0	0	2	0	1
chr1:1996100-1996500;enhD:PRKCZ:2050469:+;-	2	9	3	13	0	0	0	0	0	0
chr1:1996100-1996500;enhD:PRKCZ:2050469:+;+	0	0	0	1	0	0	0	0	0	0
chr1:2050000-2050450;prm:PRKCZ:2050469:+;-	8	17	20	82	3	1	0	0	0	0
chr1:2050000-2050450;prm:PRKCZ:2050469:+;+	0	1	1	5	0	0	0	0	0	0
chr1:2133050-2133500;enhG:PRKCZ:2050469:+;-	1	4	2	5	0	6	32	10	5	1
chr1:2148750-2149050;enhG:PRKCZ:2050469:+;-	7	10	10	16	1	1	3	0	2	1
chr1:2151050-2151150;enhG:PRKCZ:2050469:+;-	2	5	4	5	0	1	0	0	0	0
chr1:2151200-2151450;enhG:PRKCZ:2050469:+;-	30	26	32	58	31	2	6	4	0	4
chr1:2199200-2199500;enhG:PRKCZ:2050469:+;-	3	7	11	18	2	0	2	0	0	0
chr1:2205250-2205500;enhG:PRKCZ:2050469:+;-	0	5	0	3	1	0	0	0	0	0
chr1:2228600-2228700;prm:SKI:2228694:+;-	0	0	0	0	0	1	4	3	0	0
chr1:2228600-2228700;prm:SKI:2228694:+;+	0	1	0	0	0	2	13	1	0	0
chr1:2228800-2229750;prm:SKI:2228694:+;-	1	10	5	7	3	23	110	25	0	0
chr1:2228800-2229750;prm:SKI:2228694:+;+	7	18	22	24	1	23	161	36	5	1
chr1:2229900-2230000;enhP:SKI:2228694:+;-	0	0	0	0	0	0	2	0	0	0
chr1:2234300-2234550;enhG:SKI:2228694:+;-	14	10	13	13	4	3	13	2	0	0
chr1:2300450-2301100;enhG:SKI:2228694:+;-	16	19	19	24	5	29	144	52	17	8
chr1:2391400-2391950;prm:MORN1:2391751:-;-	21	39	35	77	7	6	8	9	3	1
chr1:2391400-2391950;prm:RER1:2391774:+;+	92	149	143	235	42	5	14	6	5	3
chr1:2412550-2412750;prm:PEX10:2412571:-;-	0	0	0	0	0	0	0	0	0	0
chr1:2412550-2412750;prm:PEX10:2412571:-;+	0	2	0	3	0	0	0	0	0	0
chr1:2523800-2524300;enhG:PANK4:2526628:-;+	8	5	5	23	6	0	4	0	0	0
chr1:2526550-2526750;prm:PANK4:2526628:-;-	12	27	12	31	5	0	0	0	1	1
chr1:2526550-2526750;prm:PANK4:2526628:-;+	1	3	2	0	0	0	0	0	0	0
chr1:2545950-2546550;enhG:LOC115110:2557011:-;+	208	486	604	641	79	3	24	15	15	2
chr1:2546900-2547350;enhG:LOC115110:2557011:-;+	42	64	68	84	24	9	34	24	3	3
chr1:2547400-2547550;enhG:LOC115110:2557011:-;+	10	22	25	19	2	4	23	15	3	1
chr1:2547700-2547800;enhG:LOC115110:2557011:-;+	4	7	6	10	5	2	5	1	0	0
chr1:2547850-2548650;enhG:LOC115110:2557011:-;+	69	120	74	132	43	10	32	10	19	12
chr1:2554950-2555150;enhP:LOC115110:2557011:-;+	0	0	0	0	0	0	3	0	0	0
chr1:2555250-2556250;prm:TNFRSF14:2556364:+;-	26	49	45	63	13	9	21	3	10	3
chr1:2555250-2556250;prm:TNFRSF14:2556364:+;+	56	97	74	104	31	8	14	13	8	5
chr1:2556350-2557150;prm:LOC115110:2557011:-;-	73	127	86	136	38	6	35	14	7	7
chr1:2556350-2557150;prm:TNFRSF14:2556364:+;+	88	168	157	223	91	17	43	11	9	7
chr1:2557250-2557500;enhP:LOC115110:2557011:+;-	0	0	0	1	0	0	0	0	0	0
chr1:2578250-2578500;enhG:TNFRSF14:2556364:+;-	192	212	247	453	71	22	139	49	6	4
chr1:2584450-2585100;enhP:FAM213B:2586459:-;+	4	8	4	5	1	0	2	1	0	0
chr1:2585250-2585900;enhP:FAM213B:2586459:-;+	100	159	148	253	34	6	25	22	7	2
chr1:2585950-2587000;prm:FAM213B:2586459:+;-	81	109	78	148	24	6	10	14	18	6
chr1:2585950-2587000;prm:FAM213B:2586459:+;+	26	36	31	53	8	18	62	27	11	4
chr1:2642450-2643450;enhD:FAM213B:2586749:+;-	66	165	144	266	37	4	14	2	8	4
chr1:2642450-2643450;enhD:FAM213B:2586749:+;+	16	22	22	30	1	4	11	0	3	0
chr1:2840100-2840200;enhD:PRDM16:3069177:+;-	0	0	0	0	0	0	0	0	0	0
chr1:2840100-2840200;enhD:PRDM16:3069177:+;+	0	0	0	0	0	0	0	0	0	0
chr1:3069000-3069150;prm:PRDM16:3069177:+;-	0	1	0	0	0	0	0	0	0	0
chr1:3069000-3069150;prm:PRDM16:3069177:+;+	0	0	0	0	0	0	0	0	0	0
chr1:3454250-3454650;prm:ARHGEF16:3454582:+;-	0	1	0	2	0	0	0	0	0	0
chr1:3454250-3454650;prm:ARHGEF16:3454582:+;+	0	1	0	4	0	0	0	0	0	0
chr1:3454800-3455100;enhP:ARHGEF16:3454582:+;-	0	0	0	8	0	0	0	1	0	0
chr1:3530450-3530850;enhD:ARHGEF16:3454582:+;-	35	60	44	70	21	5	0	0	0	0
chr1:3530450-3530850;enhD:ARHGEF16:3454582:+;+	1	1	0	2	0	0	0	0	0	0
chr1:3530900-3531150;enhD:ARHGEF16:3454582:+;-	17	15	8	27	2	7	1	0	0	0
chr1:3530900-3531150;enhD:ARHGEF16:3454582:+;+	6	5	8	5	1	0	0	0	0	0
chr1:3531350-3531500;enhD:ARHGEF16:3454582:+;-	114	154	140	229	24	3	2	3	0	1
chr1:3531350-3531500;enhD:ARHGEF16:3454582:+;+	1	0	2	1	0	0	0	0	0	0
chr1:3624000-3624150;enhP:TPRG1L:3624991:-;+	0	0	0	0	0	0	0	0	0	0
chr1:3624700-3625000;prm:TPRG1L:3624991:+;-	19	20	21	27	7	0	1	2	0	0
chr1:3624700-3625000;prm:TPRG1L:3624991:+;+	0	0	0	0	0	0	0	0	0	0
chr1:3625200-3625400;enhG:WRAP73:3650107:-;+	7	10	10	21	8	10	12	2	0	0
chr1:3625800-3625900;enhG:WRAP73:3650107:-;+	2	1	0	4	0	0	3	0	0	0
chr1:3650000-3650350;prm:WRAP73:3650107:-;-	48	110	79	132	16	0	0	0	0	0
chr1:3650000-3650350;prm:WRAP73:3650107:-;+	0	0	0	1	0	0	0	0	0	0
chr1:3677300-3677850;enhD:WRAP73:3650107:-;-	12	19	23	39	16	0	0	2	0	0
chr1:3677300-3677850;enhD:WRAP73:3650107:-;+	2	7	4	6	3	0	0	0	0	0
chr1:3678250-3678700;enhD:WRAP73:3650107:-;-	2	3	0	2	0	0	0	0	0	0
chr1:3678250-3678700;enhD:WRAP73:3650107:-;+	1	4	1	9	4	0	0	0	0	0
chr1:3747250-3747500;prm:TP73-AS1:3747373:-;-	14	26	29	45	1	1	2	0	0	0
chr1:3747250-3747500;prm:TP73-AS1:3747373:-;+	0	0	0	0	0	0	0	0	0	0
chr1:3796450-3796650;prm:LRRC47:3796504:-;-	2	7	12	7	1	1	1	0	0	0
chr1:3796450-3796650;prm:LRRC47:3796504:-;+	9	8	7	8	3	0	3	0	0	0
chr1:3857050-3857500;prm:CEP104:3857233:-;-	73	128	74	199	21	3	0	0	5	2
chr1:3857050-3857500;prm:DFFB:3857266:+;+	5	27	18	27	2	0	0	0	0	0
chr1:3899700-3900550;prm:C1orf174:3900293:-;-	56	88	70	159	26	7	33	13	7	1
chr1:3899700-3900550;prm:LINC01134:3900403:+;+	23	24	26	77	3	9	32	22	9	11
chr1:3901050-3901500;enhP:C1orf174:3900293:+;-	9	12	13	58	2	0	0	0	0	0
chr1:5329050-5329500;enhD:KCNAB2:5992297:+;-	0	1	1	1	0	0	0	0	0	0
chr1:5329050-5329500;enhD:KCNAB2:5992297:+;+	5	5	6	15	0	0	0	0	0	0
chr1:5666950-5667400;enhD:KCNAB2:5992297:+;-	1	1	0	2	1	0	0	0	0	0
chr1:5666950-5667400;enhD:KCNAB2:5992297:+;+	0	1	0	4	0	0	0	0	0	0
chr1:5667850-5668000;enhD:KCNAB2:5992297:+;-	1	0	0	0	0	0	0	0	0	0
chr1:5667850-5668000;enhD:KCNAB2:5992297:+;+	1	0	0	0	0	0	0	0	0	0
chr1:5991950-5992100;prm:KCNAB2:5992297:+;-	0	0	0	2	1	0	1	2	4	1
chr1:5991950-5992100;prm:KCNAB2:5992297:+;+	0	0	0	2	0	0	0	0	0	0
chr1:5992450-5992750;prm:NPHP4:5992473:-;-	0	0	0	0	0	0	0	0	7	1
chr1:5992450-5992750;prm:KCNAB2:5992297:+;+	6	8	3	2	0	0	2	0	0	0
chr1:5993750-5993850;enhP:NPHP4:5992473:+;-	1	0	0	1	0	0	0	0	0	0
chr1:5993950-5994100;enhP:NPHP4:5992473:+;-	0	0	1	0	0	0	0	0	0	0
chr1:5994800-5994900;enhG:KCNAB2:5992297:+;-	0	1	0	0	0	1	2	0	0	0
chr1:6025950-6026050;prm:KCNAB2:6026012:+;-	8	7	7	25	4	6	11	3	2	2
chr1:6025950-6026050;prm:KCNAB2:6026012:+;+	0	0	1	0	0	0	0	0	0	0
chr1:6026100-6026500;prm:KCNAB2:6026012:+;-	4	9	5	8	0	3	19	3	0	0
chr1:6026100-6026500;prm:KCNAB2:6026012:+;+	7	35	21	25	7	7	24	9	7	2
chr1:6026550-6026650;enhG:KCNAB2:5992297:+;-	0	0	0	0	0	1	3	2	0	0
chr1:6028000-6029000;enhG:KCNAB2:5992297:+;-	20	29	12	35	11	5	26	25	16	10
chr1:6198800-6199200;enhP:RPL22:6199619:-;+	0	0	0	0	1	0	0	0	0	0
chr1:6199250-6199500;prm:RPL22:6199619:-;-	12	37	17	52	3	2	8	6	0	0
chr1:6199250-6199500;prm:RPL22:6199619:-;+	0	0	1	0	0	0	0	0	0	0
chr1:6199550-6199800;prm:RPL22:6199619:-;-	1	0	2	9	0	0	0	0	0	0
chr1:6199550-6199800;prm:RPL22:6199619:-;+	0	0	0	0	0	0	0	0	1	1
chr1:6205900-6206100;prm:LOC102724450:6205780:-;-	1	2	2	7	0	0	0	0	0	0
chr1:6205900-6206100;prm:RNF207:6206128:+;+	0	0	0	1	0	0	0	0	0	0
chr1:6235950-6236100;prm:ICMT:6235984:-;-	1	2	0	2	0	0	0	0	0	0
chr1:6235950-6236100;prm:LINC00337:6236239:+;+	0	0	0	2	0	0	0	0	0	0
chr1:6348350-6348950;enhG:ACOT7:6393766:-;+	7	25	17	32	3	1	3	3	4	2
chr1:6393000-6393100;enhP:ACOT7:6393766:-;+	0	0	0	0	0	0	0	0	0	0
chr1:6393150-6394300;prm:ACOT7:6393766:-;-	19	14	25	84	5	7	21	9	6	2
chr1:6393150-6394300;prm:ACOT7:6393766:-;+	47	85	79	184	19	12	15	2	3	2
chr1:6419800-6420050;prm:HES2:6419919:-;-	0	0	1	14	0	0	0	0	0	0
chr1:6419800-6420050;prm:HES2:6419919:-;+	0	0	0	0	0	0	0	0	0	0
chr1:6424600-6424750;prm:ESPN:6424787:+;-	0	0	0	0	0	0	0	0	0	0
chr1:6424600-6424750;prm:ESPN:6424787:+;+	0	0	0	0	0	0	0	0	0	0
chr1:6460450-6460600;enhG:ESPN:6424787:+;-	3	4	2	5	3	0	5	1	0	0
chr1:6460650-6460800;enhG:ESPN:6424787:+;-	0	2	0	0	0	2	0	0	0	0
chr1:6460950-6461100;enhG:ESPN:6424787:+;-	0	1	0	1	0	1	0	0	0	0
chr1:6465950-6466200;prm:TNFRSF25:6466195:-;-	41	50	39	74	10	11	47	13	1	2
chr1:6465950-6466200;prm:TNFRSF25:6466195:-;+	1	1	2	3	3	2	11	0	0	0
chr1:6490500-6490600;prm:PLEKHG5:6490580:-;-	0	0	0	3	0	0	0	0	0	0
chr1:6490500-6490600;prm:PLEKHG5:6490580:-;+	0	0	0	0	0	0	0	0	0	0
chr1:6554450-6554600;prm:NOL9:6554598:-;-	13	26	18	69	7	0	0	0	0	0
chr1:6554450-6554600;prm:NOL9:6554598:-;+	0	0	0	0	0	0	0	0	0	0
chr1:6600650-6600900;enhP:KLHL21:6602898:-;+	4	2	0	1	3	0	0	0	0	0
chr1:6601050-6601600;enhP:KLHL21:6602898:-;+	75	122	102	164	49	15	97	62	14	8
chr1:6601900-6602250;enhP:KLHL21:6602898:-;+	4	18	3	16	2	10	33	6	7	2
chr1:6602600-6604000;prm:KLHL21:6602898:-;-	185	333	282	528	66	30	110	44	8	3
chr1:6602600-6604000;prm:KLHL21:6602898:-;+	105	162	138	242	34	39	143	49	19	15
chr1:6612650-6613750;prm:PHF13:6613695:+;-	76	145	126	209	40	10	5	2	0	0
chr1:6612650-6613750;prm:PHF13:6613695:+;+	1	6	1	19	4	5	10	1	0	0
chr1:6614150-6614350;enhP:PHF13:6613695:+;-	0	0	1	2	0	0	0	0	0	0
chr1:6614400-6614800;enhP:PHF13:6613695:+;-	1	3	3	7	0	0	2	1	0	0
chr1:6624950-6625300;prm:THAP3:6624864:+;-	3	10	14	21	4	1	0	0	0	0
chr1:6624950-6625300;prm:THAP3:6624864:+;+	32	35	41	99	12	0	16	0	0	0
chr1:6701650-6702000;prm:DNAJC11:6701906:-;-	27	23	29	56	8	2	3	12	0	1
chr1:6701650-6702000;prm:DNAJC11:6701906:-;+	1	0	2	1	1	0	0	0	0	0
chr1:6743750-6743900;enhD:CAMTA1:6785323:+;-	1	7	4	2	0	1	0	0	0	0
chr1:6743750-6743900;enhD:CAMTA1:6785323:+;+	1	0	1	7	0	0	0	0	2	5
chr1:6783950-6785450;prm:CAMTA1:6785323:+;-	78	118	103	217	31	38	60	17	18	7
chr1:6783950-6785450;prm:CAMTA1:6785323:+;+	7	12	20	17	5	5	59	18	0	7
chr1:7680000-7680100;enhG:CAMTA1:6785323:+;-	2	1	0	3	1	0	0	0	0	0
chr1:7680200-7680950;enhG:CAMTA1:6785323:+;-	14	24	18	48	4	2	0	0	0	1
chr1:7703950-7705500;enhG:CAMTA1:6785323:+;-	1	4	2	29	0	15	79	17	16	3
chr1:7770700-7770850;enhP:VAMP3:7771268:-;+	0	0	0	1	0	0	0	0	0	0
chr1:7770950-7772500;prm:VAMP3:7771268:+;-	24	41	29	92	4	5	10	7	10	6
chr1:7770950-7772500;prm:VAMP3:7771268:+;+	59	113	90	157	36	20	20	16	15	4
chr1:7826900-7827700;enhD:VAMP3:7771268:+;-	6	12	6	40	2	0	0	0	0	0
chr1:7826900-7827700;enhD:VAMP3:7771268:+;+	7	14	10	31	2	0	0	0	0	0
chr1:7940950-7941250;enhP:TNFRSF9:7943165:-;+	0	0	0	0	0	0	2	0	0	0
chr1:7941900-7943000;prm:TNFRSF9:7943165:-;-	33	62	45	63	14	2	3	3	0	0
chr1:7941900-7943000;prm:TNFRSF9:7943165:-;+	17	19	23	21	15	1	2	9	0	0
chr1:7953800-7954350;enhD:PARK7:7961653:+;-	112	169	135	259	50	10	20	10	2	2
chr1:7953800-7954350;enhD:PARK7:7961653:+;+	1	12	6	9	5	3	10	9	3	2
chr1:7961450-7961800;prm:PARK7:7961653:+;-	8	3	10	17	3	4	22	3	8	2
chr1:7961450-7961800;prm:PARK7:7961653:+;+	61	85	76	135	33	8	28	17	3	3
chr1:7961900-7962000;enhP:PARK7:7961653:+;-	0	0	0	1	0	3	5	13	2	0
chr1:8026200-8026400;prm:ERRFI1:8026333:-;-	17	25	16	49	7	5	5	16	1	1
chr1:8026200-8026400;prm:ERRFI1:8026333:-;+	0	0	1	0	0	0	0	0	0	0
chr1:8152550-8153500;enhD:ERRFI1:8026333:-;-	5	24	24	35	1	3	37	13	2	1
chr1:8152550-8153500;enhD:ERRFI1:8026333:-;+	6	2	3	4	0	0	3	6	0	0
chr1:8169850-8170000;enhD:ERRFI1:8026333:-;-	0	0	0	2	0	0	0	0	0	0
chr1:8169850-8170000;enhD:ERRFI1:8026333:-;+	2	1	1	2	0	0	1	0	0	0
chr1:8182450-8182850;enhD:ERRFI1:8026333:-;-	0	0	0	1	0	0	0	0	0	0
chr1:8182450-8182850;enhD:ERRFI1:8026333:-;+	3	1	1	6	0	0	0	0	0	0
chr1:8422500-8423300;enhP:LOC102724552:8424644:-;+	20	44	29	52	16	0	0	0	4	6
chr1:8423550-8425000;prm:RERE:8423687:-;-	241	452	307	567	152	16	36	6	12	6
chr1:8423550-8425000;prm:LOC102724552:8424644:+;+	78	198	134	218	82	12	21	4	2	2
chr1:8525050-8525450;enhG:RERE:8817640:-;+	2	4	0	5	0	0	0	2	0	0
chr1:8525750-8526150;enhG:RERE:8817640:-;+	5	5	2	8	2	0	1	4	0	0
chr1:8629200-8629950;enhG:RERE:8817640:-;+	7	7	2	7	0	0	0	0	0	0
chr1:8702850-8703000;enhG:RERE:8817640:-;+	0	0	0	0	1	0	0	0	0	0
chr1:8703200-8703450;enhG:RERE:8817640:-;+	0	0	0	3	0	0	4	1	0	0
chr1:8816750-8817000;enhP:RERE:8817640:-;+	6	2	6	6	3	1	3	1	0	0
chr1:8817650-8817950;prm:RERE:8817640:-;-	25	33	14	32	12	1	3	1	0	0
chr1:8817650-8817950;prm:RERE:8817640:-;+	4	5	15	12	2	1	7	3	0	0
chr1:8877550-8878300;enhP:ENO1-AS1:8878834:-;+	1	1	4	3	7	2	9	2	1	0
chr1:8878550-8879500;prm:ENO1:8879092:-;-	128	201	168	361	52	37	84	44	13	4
chr1:8878550-8879500;prm:ENO1-AS1:8878834:+;+	104	166	131	207	32	21	58	32	3	4
chr1:8924600-8924900;enhD:ENO1:8879092:-;-	2	7	3	8	0	0	0	0	0	0
chr1:8924600-8924900;enhD:ENO1:8879092:-;+	0	0	3	4	0	0	0	0	0	0
chr1:8925650-8925950;enhD:ENO1:8879092:-;-	9	2	4	10	1	0	0	0	0	0
chr1:8925650-8925950;enhD:ENO1:8879092:-;+	0	5	4	1	2	0	0	0	0	0
