id	P1	P1r	P1n	P1nh	P2	P6	P33	P36	P45	P46	P52	P53	P54	P55
FNDC10	6	23	4	5	5	7	13	4	12	6	2	2	6	0
MIB2	156	393	290	269	58	100	155	7	57	30	42	18	26	30
MIB2	156	393	290	269	58	100	155	7	57	30	42	18	26	30
MIB2	156	393	290	269	58	100	155	7	57	30	42	18	26	30
MIB2	156	393	290	269	58	100	155	7	57	30	42	18	26	30
MIB2	156	393	290	269	58	100	155	7	57	30	42	18	26	30
MIB2	91	240	162	159	31	83	128	6	42	25	36	16	26	28
MMP23B	1	5	1	3	2	7	5	0	5	0	3	1	1	0
MMP23A	0	2	1	2	2	0	0	0	0	0	0	0	1	0
CDK11B	90	266	204	138	36	104	236	26	179	110	210	181	379	361
CDK11B	90	266	204	138	36	104	236	26	179	110	210	181	379	361
CDK11B	90	266	204	138	36	104	236	26	179	110	210	181	379	361
CDK11B	90	266	204	138	36	104	236	26	179	110	210	181	379	361
CDK11B	90	266	204	138	36	104	236	26	179	110	210	181	379	361
CDK11B	90	266	204	138	36	104	236	26	179	110	210	181	379	361
SLC35E2B	119	357	301	256	105	103	43	7	14	24	47	23	17	30
SLC35E2B	119	357	301	256	105	103	43	7	14	24	47	23	17	30
MMP23A	1	4	4	6	2	0	2	0	0	0	0	0	2	0
CDK11A	153	426	243	209	66	67	127	10	174	82	191	107	177	194
CDK11A	153	426	243	209	66	67	127	10	174	82	191	107	177	194
CDK11A	153	426	243	209	66	67	127	10	174	82	191	107	177	194
CDK11A	153	426	243	209	66	67	127	10	174	82	191	107	177	194
CDK11A	153	426	243	209	66	67	127	10	174	82	191	107	177	194
CDK11A	153	426	243	209	66	67	127	10	174	82	191	107	177	194
SLC35E2	58	196	161	112	35	22	10	0	1	1	13	8	13	9
SLC35E2	49	177	133	97	31	19	9	0	0	1	13	8	12	8
NADK	197	488	521	372	160	148	27	6	24	17	119	57	130	69
NADK	476	1275	1279	917	374	318	87	19	55	47	181	95	198	125
NADK	501	1321	1327	955	387	331	102	20	62	58	183	95	199	125
NADK	637	1636	1547	1158	518	346	134	23	82	72	208	109	223	159
GNB1	578	1857	1715	1103	384	459	457	46	387	173	345	235	440	434
GNB1	578	1857	1715	1103	384	459	457	46	387	173	345	235	440	434
GNB1	578	1857	1715	1103	384	459	457	46	387	173	345	235	440	434
CALML6	2	7	1	0	0	0	2	0	0	2	0	0	0	0
TMEM52	2	50	1	3	0	2	19	0	5	0	3	3	1	4
CFAP74	6	46	18	13	3	1	3	0	3	1	2	3	5	5
GABRD	0	5	0	1	0	25	78	7	52	198	32	59	30	28
LOC105378591	11	78	19	9	1	2	0	0	0	0	0	1	1	0
PRKCZ	349	911	626	577	248	172	264	14	101	72	91	55	112	108
PRKCZ	320	785	565	532	237	161	257	13	100	70	89	50	106	103
PRKCZ	320	785	565	532	237	161	257	13	100	70	89	50	106	103
PRKCZ	316	746	535	514	236	141	257	12	100	70	84	45	73	90
FAAP20	123	371	349	252	65	69	81	8	33	29	17	14	24	23
FAAP20	123	371	349	252	65	69	81	8	33	29	17	14	24	23
FAAP20	123	371	349	252	65	69	81	8	33	29	17	14	24	23
FAAP20	123	371	349	252	65	69	81	8	33	29	17	14	24	23
FAAP20	182	533	449	335	84	73	104	10	36	40	21	15	25	30
FAAP20	95	268	291	220	45	53	63	5	25	23	16	11	16	17
FAAP20	95	268	291	220	45	53	63	5	25	23	16	11	16	17
FAAP20	95	268	291	220	45	53	63	5	25	23	16	11	16	17
FAAP20	154	434	391	303	64	58	98	7	29	35	20	12	18	24
FAAP20	85	252	263	203	44	45	47	5	25	22	12	8	15	10
SKI	356	812	755	584	151	600	2441	163	529	569	199	124	139	293
MORN1	82	375	217	148	35	41	28	4	13	16	21	10	17	7
LOC100129534	4	17	11	3	1	1	4	0	0	1	1	2	8	1
MORN1	69	327	184	130	33	31	24	3	13	16	12	7	9	6
MORN1	64	297	160	115	30	21	22	2	12	16	10	3	2	5
RER1	227	557	445	374	123	91	75	6	35	20	43	22	14	29
PEX10	53	190	101	93	25	15	28	1	6	4	2	5	12	3
PEX10	53	190	101	93	25	15	28	1	6	4	2	5	12	3
PLCH2	9	13	27	26	3	60	28	5	31	17	15	3	20	9
PLCH2	7	11	24	24	0	47	27	5	28	17	15	3	20	9
PLCH2	7	11	24	24	0	47	27	5	28	17	15	3	20	9
PANK4	159	479	365	248	69	71	101	8	45	32	42	29	29	25
HES5	0	5	0	0	0	0	1	0	1	1	0	1	3	0
LOC115110	142	280	239	211	96	50	122	5	43	43	21	13	16	28
TNFRSF14	294	676	728	583	223	141	203	9	59	57	68	32	50	69
TNFRSF14	294	676	728	583	223	141	203	9	59	57	68	32	50	69
LOC100996583	151	352	362	315	115	105	124	9	50	28	57	23	38	26
FAM213B	32	107	50	32	7	20	164	9	49	26	7	7	15	5
FAM213B	32	107	50	32	7	20	164	9	49	26	7	7	15	5
FAM213B	19	88	37	26	7	20	162	9	49	26	3	6	14	4
FAM213B	19	88	37	26	7	20	162	9	49	26	3	6	14	4
FAM213B	19	88	37	26	7	20	162	9	49	26	3	6	14	4
FAM213B	19	88	37	26	7	20	162	9	49	26	3	6	14	4
FAM213B	19	88	37	26	7	20	162	9	49	26	3	6	14	4
FAM213B	19	88	37	26	7	20	162	9	49	26	3	6	14	4
MMEL1	3	4	3	3	2	3	4	0	6	4	2	1	4	4
TTC34	71	294	196	164	43	4	17	1	3	2	8	4	2	4
ACTRT2	0	0	0	1	1	0	0	0	0	0	0	0	1	0
LINC00982	0	20	1	0	0	0	0	0	0	0	0	0	1	0
LINC00982	0	7	1	0	0	0	0	0	0	0	0	0	1	0
PRDM16	13	247	14	12	4	0	8	1	7	1	9	8	4	13
PRDM16	13	247	14	12	4	0	8	1	7	1	9	8	4	13
MIR4251	0	1	0	2	1	0	0	0	0	0	0	0	0	0
ARHGEF16	3	39	0	0	0	3	0	0	1	1	1	1	0	4
MEGF6	497	1261	1137	911	176	224	47	9	36	32	120	42	68	69
MIR551A	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	167	417	331	224	101	44	56	2	25	10	40	9	45	12
WRAP73	196	544	372	274	78	36	18	4	25	16	21	13	25	15
TP73	23	151	42	37	26	8	22	4	8	8	2	1	0	2
TP73	23	151	42	37	26	8	22	4	8	8	2	1	0	2
TP73	23	151	42	37	26	8	22	4	8	8	2	1	0	2
TP73	23	151	42	37	26	8	22	4	8	8	2	1	0	2
TP73	23	151	42	37	26	8	22	4	8	8	2	1	0	2
TP73	23	151	42	37	26	8	22	4	8	8	2	1	0	2
TP73	0	73	5	12	5	2	2	1	2	4	2	1	0	2
TP73	0	73	5	12	5	2	2	1	2	4	2	1	0	2
TP73	0	73	5	12	5	2	2	1	2	4	2	1	0	2
TP73	0	73	5	12	5	2	2	1	2	4	2	1	0	2
TP73	0	73	5	12	5	2	2	1	2	4	2	1	0	2
TP73	0	73	5	12	5	2	2	1	2	4	2	1	0	2
TP73	0	60	5	12	5	2	2	1	2	4	1	1	0	2
TP73-AS1	4	56	15	13	6	10	2	1	1	0	5	2	0	1
TP73-AS1	52	203	104	94	17	11	4	2	1	0	5	2	0	1
TP73-AS1	52	203	104	94	17	11	4	2	1	0	5	2	0	1
TP73-AS1	52	203	104	94	17	11	4	2	1	0	5	2	0	1
TP73-AS1	52	203	104	94	17	11	4	2	1	0	5	2	0	1
CCDC27	0	4	0	0	0	0	0	0	1	1	1	3	0	2
SMIM1	5	40	9	7	2	4	1	1	5	1	1	1	0	2
SMIM1	5	40	9	7	2	4	1	1	5	1	1	1	0	2
LRRC47	75	240	179	128	27	51	22	0	28	10	12	16	9	13
CEP104	168	473	376	252	60	70	10	4	14	7	39	24	27	33
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
DFFB	64	183	138	109	38	26	0	0	0	0	16	8	5	6
C1orf174	74	240	130	103	32	21	33	2	13	7	10	7	14	9
LINC01134	65	244	77	77	29	26	54	4	23	16	4	10	14	10
LINC01346	1	0	0	1	0	0	0	0	0	0	0	1	0	0
LOC284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	8	16	20	7	4	10	1	1	2	2	8	3	1	7
AJAP1	10	16	21	8	4	15	1	1	2	3	9	3	1	7
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	1	0	0	0	0	0	0	0	0	0	2	6	1	1
NPHP4	39	241	97	70	21	28	57	3	18	19	39	30	16	25
NPHP4	39	241	97	70	21	28	57	3	18	19	39	30	16	25
NPHP4	39	241	97	70	21	28	57	3	18	19	39	30	16	25
NPHP4	39	241	97	70	21	28	57	3	18	19	39	30	16	25
KCNAB2	392	914	997	705	225	539	504	56	294	186	309	190	340	370
KCNAB2	321	757	873	619	195	488	412	45	248	167	270	154	300	302
KCNAB2	321	757	873	619	195	488	412	45	248	167	270	154	300	302
KCNAB2	260	595	721	494	151	389	155	23	128	75	211	126	283	223
KCNAB2	234	524	625	430	129	357	109	15	122	67	197	121	269	215
KCNAB2	234	523	624	430	129	357	109	15	122	67	197	121	269	215
CHD5	3	23	4	8	2	0	3	1	1	1	0	3	1	0
RPL22	34	243	100	60	20	21	19	0	15	6	12	7	22	8
LOC102724450	3	10	1	0	0	1	4	0	0	0	0	1	0	0
RNF207	5	102	12	4	4	4	22	3	9	2	3	1	2	1
ICMT	48	246	93	88	24	6	2	0	1	2	8	4	1	1
LINC00337	12	55	7	8	1	0	1	0	0	0	0	1	0	0
HES3	0	1	1	2	0	0	1	0	0	0	0	0	0	0
GPR153	9	58	10	2	3	7	3	0	2	1	0	2	1	3
ACOT7	20	172	37	22	11	14	28	3	23	13	11	6	5	4
ACOT7	36	226	68	54	18	16	33	3	23	14	11	6	5	6
ACOT7	39	254	71	59	21	24	44	5	31	15	13	8	5	13
ACOT7	57	349	84	82	26	35	78	8	43	30	20	12	16	16
HES2	0	56	0	1	1	0	0	0	0	0	4	0	0	1
ESPN	62	415	92	74	29	11	34	1	13	12	6	3	0	4
MIR4252	0	1	0	0	1	0	0	0	0	0	1	0	0	1
TNFRSF25	51	115	74	59	21	25	112	6	27	27	14	6	9	7
TNFRSF25	51	115	74	59	21	25	112	6	27	27	14	6	9	7
TNFRSF25	51	115	74	59	21	25	112	6	27	27	14	6	9	7
TNFRSF25	51	115	74	59	21	25	112	6	27	27	14	6	9	7
TNFRSF25	51	115	74	59	21	25	112	6	27	27	14	6	9	7
TNFRSF25	46	97	65	56	17	21	94	4	21	24	6	6	9	7
PLEKHG5	47	112	55	32	10	12	26	0	4	12	1	1	1	3
PLEKHG5	47	112	55	32	10	12	26	0	4	12	1	1	1	3
PLEKHG5	48	126	58	32	10	14	29	1	5	12	1	1	1	3
PLEKHG5	48	126	58	32	10	14	29	1	5	12	1	1	1	3
PLEKHG5	50	132	59	38	11	14	31	1	9	13	1	1	1	4
PLEKHG5	50	143	60	40	11	14	31	1	10	13	1	1	1	4
PLEKHG5	50	161	63	43	11	16	31	1	10	13	1	1	1	4
PLEKHG5	58	191	75	46	15	26	32	1	13	14	4	2	8	9
NOL9	85	446	210	153	42	52	36	5	25	15	31	9	7	19
TAS1R1	0	3	4	5	3	0	3	0	2	0	0	0	2	1
TAS1R1	0	3	4	5	3	0	3	0	2	0	0	0	2	1
ZBTB48	177	500	418	297	78	68	103	10	43	33	33	15	20	16
ZBTB48	177	500	418	297	78	68	103	10	43	33	33	15	20	16
ZBTB48	177	500	418	297	78	68	103	10	43	33	33	15	20	16
KLHL21	393	1072	924	748	235	187	290	25	122	84	82	54	94	76
KLHL21	393	1072	924	748	235	187	290	25	122	84	82	54	94	76
PHF13	47	174	62	51	27	25	34	1	21	2	34	17	35	29
THAP3	59	192	101	101	25	25	30	2	21	16	13	7	18	16
THAP3	56	187	95	97	24	25	21	2	21	15	13	6	18	9
THAP3	64	228	116	104	26	35	28	3	32	19	13	6	18	10
DNAJC11	65	359	168	114	37	43	17	4	31	8	36	18	24	24
LOC100505887	2	1	3	1	1	0	1	0	0	0	1	0	2	0
LOC100505887	2	1	3	1	1	0	1	0	0	0	1	0	2	0
CAMTA1	92	350	172	151	34	95	155	15	232	99	60	46	68	96
CAMTA1	104	407	201	170	50	123	175	17	250	104	78	59	93	103
CAMTA1	104	407	201	170	50	123	175	17	250	104	78	59	93	103
CAMTA1	189	873	382	308	101	198	260	21	324	135	133	105	115	146
VAMP3	88	248	198	156	46	53	28	3	30	23	64	37	89	75
PER3	17	101	38	30	7	8	5	1	7	1	7	7	1	2
PER3	17	101	38	30	7	8	5	1	7	1	7	7	1	2
PER3	17	101	38	30	7	8	5	1	7	1	7	7	1	2
PER3	17	101	38	30	7	8	5	1	7	1	7	7	1	2
PER3	17	101	38	30	7	8	5	1	7	1	7	7	1	2
UTS2	0	1	0	0	0	4	1	0	0	1	0	0	0	0
UTS2	0	1	0	0	0	4	1	0	0	1	0	0	0	0
TNFRSF9	69	150	150	109	24	6	13	1	6	1	9	1	2	1
PARK7	149	407	256	204	77	61	64	3	66	23	20	7	1	13
PARK7	149	407	256	204	77	61	64	3	66	23	20	7	1	13
ERRFI1	23	88	35	30	8	8	19	2	29	12	8	4	6	4
LOC102724539	0	0	1	1	0	0	0	0	0	0	1	0	0	0
SLC45A1	6	43	22	14	5	1	0	1	3	1	1	2	8	1
RERE	560	1404	1431	1077	370	274	125	22	139	67	135	88	147	166
RERE	1220	3446	2732	1992	772	496	321	45	277	134	276	163	257	290
RERE	1220	3446	2732	1992	772	496	321	45	277	134	276	163	257	290
LOC102724552	129	302	249	199	134	2	9	2	6	4	0	2	0	7
SNORD128	1	0	0	2	0	0	0	0	0	0	0	0	0	0
ENO1	44	299	101	61	19	54	59	7	33	24	44	39	26	32
ENO1	188	798	316	244	83	149	276	22	156	91	83	54	44	57
MIR6728	0	2	3	0	0	1	2	0	2	0	0	0	0	0
ENO1-AS1	114	233	173	147	35	19	52	2	32	8	3	3	8	1
CA6	56	129	78	74	19	0	1	0	1	0	3	3	2	2
CA6	57	130	78	74	19	0	1	0	1	0	3	4	2	4
CA6	57	130	78	74	19	0	1	0	1	0	3	4	2	4
CA6	57	130	78	74	19	0	1	0	1	0	3	4	2	4
SLC2A7	4	7	1	1	1	0	0	0	0	0	2	1	0	1
SLC2A5	5	13	17	6	7	3	1	0	0	0	6	1	0	2
SLC2A5	5	13	17	6	7	3	1	0	0	0	6	1	0	2
SLC2A5	5	13	17	6	7	3	1	0	0	0	6	1	0	2
SLC2A5	5	14	18	6	7	3	1	0	0	0	6	1	0	2
SLC2A5	4	12	12	2	6	3	1	0	0	0	2	1	0	2
GPR157	40	227	105	66	21	20	7	0	2	2	7	1	2	9
MIR34AHG	4	7	6	2	1	4	7	1	1	5	4	11	6	8
MIR34A	0	2	1	0	0	0	1	0	0	0	1	0	0	0
LOC102724571	0	1	3	1	0	0	0	0	0	0	1	1	0	0
H6PD	177	616	496	408	152	112	31	4	32	22	26	21	17	40
H6PD	34	147	123	72	43	43	9	1	2	3	13	9	5	26
SPSB1	41	241	98	93	38	72	236	13	98	55	61	26	36	29
LOC100506022	35	108	43	33	3	0	0	0	0	0	1	1	0	0
LOC100506022	35	110	43	33	3	0	0	0	0	0	1	1	0	0
SLC25A33	83	378	203	122	38	142	142	16	103	88	104	50	67	77
TMEM201	8	78	13	11	4	32	43	3	24	9	21	8	26	14
TMEM201	9	149	18	15	5	33	55	3	28	11	24	9	26	15
PIK3CD	1639	3532	3885	3296	1031	868	173	28	190	161	613	303	594	518
PIK3CD-AS1	39	80	70	40	22	2	23	0	1	3	7	2	1	1
PIK3CD-AS2	1	65	4	1	2	1	7	0	0	0	3	0	0	3
PIK3CD-AS2	1	65	4	1	2	1	7	0	0	0	3	0	0	3
PIK3CD-AS2	1	46	3	1	2	1	6	0	0	0	3	0	0	0
CLSTN1	110	483	264	177	58	105	44	5	48	24	58	21	62	41
CLSTN1	110	483	264	177	58	105	44	5	48	24	58	21	62	41
CLSTN1	110	483	264	177	58	105	44	5	48	24	58	21	62	41
CTNNBIP1	126	355	247	175	50	63	39	2	37	17	35	13	18	23
CTNNBIP1	126	355	247	175	50	63	39	2	37	17	35	13	18	23
LZIC	89	268	152	139	38	27	11	6	11	5	14	4	10	6
LZIC	75	235	129	107	36	19	10	5	11	5	14	4	9	6
LZIC	75	235	129	107	36	19	10	5	11	5	14	4	9	6
LZIC	75	235	129	107	36	19	10	5	11	5	14	4	9	6
LZIC	75	235	129	107	36	19	10	5	11	5	14	4	9	6
NMNAT1	212	572	345	309	99	44	42	6	9	28	14	25	7	45
NMNAT1	204	555	339	304	96	44	39	6	9	28	13	22	7	36
NMNAT1	211	567	344	309	99	44	39	6	9	28	14	25	7	45
MIR5697	1	1	2	5	1	0	0	0	0	0	0	0	2	0
RBP7	15	44	43	46	13	3	2	0	1	1	3	3	7	5
UBE4B	352	1092	996	761	196	168	52	11	100	41	106	64	169	149
UBE4B	352	1092	996	761	196	168	52	11	100	41	106	64	169	149
KIF1B	82	405	235	186	49	126	157	14	109	68	102	77	178	218
KIF1B	167	775	464	338	83	170	182	17	139	94	162	112	298	292
MIR1273D	0	1	7	0	1	0	0	0	0	0	0	0	0	0
RNU6-1	0	2	3	0	0	0	1	0	0	0	0	0	0	0
RNU6-2	0	2	3	0	0	0	1	0	0	0	0	0	0	0
RNU6-7	0	2	3	0	0	0	1	0	0	0	0	0	0	0
RNU6-8	0	2	3	0	0	0	1	0	0	0	0	0	0	0
RNU6-9	0	2	3	0	0	0	1	0	0	0	0	0	0	0
PGD	274	650	521	436	138	181	126	11	29	58	74	43	105	93
PGD	274	650	521	436	138	181	126	11	29	58	74	43	105	93
PGD	259	592	493	406	132	181	126	11	29	58	71	41	105	86
APITD1	27	124	77	52	23	7	16	0	1	1	4	1	0	0
APITD1-CORT	28	132	80	54	24	9	16	0	1	1	5	1	0	1
APITD1-CORT	28	132	80	54	24	9	16	0	1	1	5	1	0	1
APITD1-CORT	28	132	80	54	24	9	16	0	1	1	5	1	0	1
APITD1	26	113	74	51	21	7	13	0	0	1	1	0	0	0
APITD1-CORT	27	121	77	53	22	9	13	0	0	1	2	0	0	1
APITD1-CORT	27	121	77	53	22	9	13	0	0	1	2	0	0	1
CORT	1	4	2	1	0	2	0	0	0	0	0	0	0	0
DFFA	26	157	65	61	18	7	15	1	2	5	6	5	4	5
DFFA	26	157	65	61	18	7	15	1	2	5	6	5	4	5
PEX14	158	583	353	232	64	96	94	8	96	31	84	43	79	52
CASZ1	85	278	217	127	35	170	341	32	269	110	89	53	100	64
CASZ1	70	249	164	113	28	154	304	30	265	104	76	46	82	53
C1orf127	3	16	10	10	6	2	0	1	0	1	0	1	1	2
TARDBP	255	687	500	344	114	107	145	16	108	78	68	44	95	75
MASP2	0	3	1	2	1	0	5	0	0	0	7	1	1	2
MASP2	0	1	1	0	1	0	0	0	0	0	1	0	0	0
